epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2930.35,1.49806,1.34515,0.95302,0.4219,0.29533,0.26629,0.15027,1.46446,1.0992,0.93115,0.000237706,0.000237706,0.000237706
2,5894.57,1.49808,1.14929,0.94783,0.41031,0.30245,0.27133,0.15373,1.45645,1.10248,0.93253,0.000466287,0.000466287,0.000466287
3,19804.6,1.49367,1.11595,0.94384,0.41117,0.3235,0.29546,0.16715,1.4423,1.05601,0.92266,0.000685443,0.000685443,0.000685443
4,38837.1,1.46924,1.07212,0.93128,0.43771,0.33436,0.3083,0.17711,1.39334,1.0237,0.91209,0.000671588,0.000671588,0.000671588
5,41655.6,1.44931,1.04434,0.92714,0.44904,0.34456,0.32573,0.18659,1.4033,1.01544,0.91187,0.000657451,0.000657451,0.000657451
6,44467.8,1.43349,1.0217,0.92182,0.45862,0.35256,0.33103,0.19036,1.37778,0.99201,0.90322,0.000643314,0.000643314,0.000643314
7,47242.3,1.42461,1.00272,0.91876,0.46309,0.36639,0.34369,0.20017,1.35166,0.97488,0.90096,0.000629177,0.000629177,0.000629177
8,50002.2,1.40803,0.98853,0.91737,0.46891,0.36242,0.34417,0.199,1.34832,0.97447,0.89966,0.00061504,0.00061504,0.00061504
9,52770.6,1.39392,0.96196,0.91143,0.47732,0.35772,0.34891,0.20249,1.33938,0.9571,0.89632,0.000600902,0.000600902,0.000600902
10,59332.4,1.39341,0.95969,0.91171,0.47252,0.36277,0.34435,0.20226,1.34673,0.97112,0.89657,0.000586765,0.000586765,0.000586765
11,65504.7,1.38353,0.9448,0.90813,0.49381,0.3598,0.35118,0.20462,1.34036,0.95849,0.89884,0.000572628,0.000572628,0.000572628
12,68329.5,1.37726,0.93397,0.90483,0.48255,0.37495,0.3634,0.21233,1.31874,0.94219,0.89209,0.000558491,0.000558491,0.000558491
13,71095.9,1.36929,0.92779,0.9018,0.48343,0.38081,0.36241,0.21235,1.31474,0.93435,0.89183,0.000544354,0.000544354,0.000544354
14,73861.3,1.36422,0.91551,0.90138,0.49557,0.37692,0.36429,0.21433,1.3129,0.93326,0.88773,0.000530216,0.000530216,0.000530216
15,86589.4,1.3521,0.90631,0.899,0.51158,0.37936,0.36926,0.21672,1.31945,0.92606,0.88959,0.000516079,0.000516079,0.000516079
16,91729.4,1.35868,0.89766,0.8992,0.50022,0.38194,0.378,0.22141,1.31343,0.91946,0.88753,0.000501942,0.000501942,0.000501942
17,95500.6,1.34229,0.89147,0.89782,0.51554,0.38199,0.38115,0.22353,1.30031,0.89662,0.88635,0.000487805,0.000487805,0.000487805
18,98359.3,1.33962,0.88578,0.89394,0.49771,0.37955,0.37434,0.22033,1.30348,0.91046,0.88516,0.000473668,0.000473668,0.000473668
19,105429,1.3379,0.8793,0.89209,0.51398,0.38669,0.38194,0.22341,1.30294,0.89917,0.88662,0.00045953,0.00045953,0.00045953
20,110888,1.31748,0.86277,0.89136,0.51561,0.38261,0.38127,0.22295,1.30025,0.90163,0.88523,0.000445393,0.000445393,0.000445393
21,121393,1.3258,0.86361,0.89138,0.51575,0.39917,0.38622,0.22746,1.29588,0.90221,0.88564,0.000431256,0.000431256,0.000431256
